Entrez ID	Type
115265	not inferred
23141	best inferred
84103	not inferred
85437	not inferred
23142	landmark
84106	not inferred
23143	inferred
84105	not inferred
11166	best inferred
84100	not inferred
140258	not inferred
11165	best inferred
11168	landmark
84102	not inferred
11167	best inferred
84101	not inferred
30	landmark
11169	best inferred
31	best inferred
32	best inferred
33	best inferred
34	best inferred
35	best inferred
11171	best inferred
153562	not inferred
36	best inferred
11170	best inferred
37	best inferred
11173	inferred
441639	not inferred
38	best inferred
11172	inferred
39	landmark
11174	best inferred
23155	best inferred
165545	not inferred
23157	best inferred
23158	best inferred
441631	not inferred
23150	best inferred
23151	best inferred
23152	best inferred
23154	best inferred
11177	best inferred
11176	best inferred
11179	best inferred
11178	best inferred
644139	not inferred
40	best inferred
41	best inferred
139285	not inferred
43	best inferred
47	landmark
48	best inferred
11140	best inferred
49	inferred
11142	landmark
166824	not inferred
11141	best inferred
130872	not inferred
23122	best inferred
25787	best inferred
23125	best inferred
25786	best inferred
23126	best inferred
25789	best inferred
644150	not inferred
23127	best inferred
25788	best inferred
23129	best inferred
84129	not inferred
84126	not inferred
85458	best inferred
25780	best inferred
84125	not inferred
85459	best inferred
23120	best inferred
84128	not inferred
85456	not inferred
25782	best inferred
85457	not inferred
11144	inferred
11143	best inferred
85455	not inferred
11146	best inferred
84124	best inferred
85452	best inferred
139212	not inferred
50	best inferred
11145	best inferred
85453	best inferred
51	best inferred
11148	inferred
85450	not inferred
52	best inferred
11147	best inferred
85451	not inferred
53	best inferred
54	best inferred
11149	not inferred
55	best inferred
127294	not inferred
56	inferred
58	inferred
59	best inferred
11151	landmark
166815	not inferred
392188	not inferred
11153	best inferred
11152	best inferred
644168	not inferred
23133	best inferred
25796	best inferred
130888	not inferred
23135	best inferred
25798	not inferred
23136	best inferred
25797	best inferred
23137	best inferred
23138	best inferred
25799	best inferred
402055	best inferred
23139	landmark
25790	best inferred
85449	not inferred
25792	best inferred
23130	best inferred
25791	not inferred
23131	landmark
25794	inferred
85445	not inferred
23132	best inferred
25793	landmark
85446	best inferred
11155	best inferred
85443	not inferred
11154	best inferred
85444	not inferred
60	best inferred
11157	landmark
85441	not inferred
11156	best inferred
85442	not inferred
11159	not inferred
139221	not inferred
11158	not inferred
85440	not inferred
23108	best inferred
23109	best inferred
127281	not inferred
441608	not inferred
11120	best inferred
343263	not inferred
154865	not inferred
25763	inferred
23101	inferred
441601	inferred
23102	best inferred
25764	not inferred
23105	inferred
25766	not inferred
25769	best inferred
23107	best inferred
11129	best inferred
84148	best inferred
85478	not inferred
85479	not inferred
11122	best inferred
84144	not inferred
85476	inferred
70	best inferred
85477	inferred
71	not inferred
11124	best inferred
84146	not inferred
85474	not inferred
72	best inferred
11123	best inferred
11126	best inferred
84140	not inferred
11128	not inferred
84142	not inferred
11127	best inferred
84141	not inferred
139231	not inferred
23119	best inferred
644186	not inferred
11131	best inferred
11130	best inferred
23111	best inferred
23112	best inferred
23113	best inferred
25776	best inferred
402036	not inferred
23114	best inferred
25775	inferred
153527	not inferred
25778	best inferred
23116	best inferred
25777	best inferred
23117	best inferred
23118	best inferred
115294	not inferred
25770	inferred
152206	not inferred
25771	best inferred
84138	not inferred
11133	best inferred
84133	not inferred
85465	not inferred
81	best inferred
11132	best inferred
84132	not inferred
11135	best inferred
84135	not inferred
85463	not inferred
84134	not inferred
85464	not inferred
11137	landmark
85461	not inferred
115290	not inferred
11136	inferred
85462	not inferred
